participantId,timestamp,jobId,employerId,hourlyRate
44,2022-03-05 07:20:00,289,430,10.0
127,2022-03-04 23:55:00,1178,1765,11.60646473
142,2022-03-05 06:25:00,299,433,11.53631098
154,2022-03-05 05:50:00,473,851,11.94180451
161,2022-03-05 06:45:00,770,1291,11.91341636
256,2022-03-05 00:10:00,1220,1774,12.46943914
262,2022-03-05 07:05:00,372,831,11.7481468
267,2022-03-05 07:10:00,975,1332,11.94341259
279,2022-03-05 07:25:00,770,1291,11.91341636
285,2022-03-04 23:55:00,652,882,10.49610454
288,2022-03-05 06:35:00,1072,1745,11.46413345
298,2022-03-05 08:10:00,337,438,12.0465168
301,2022-03-05 06:50:00,707,1281,10.75665196
346,2022-03-05 07:30:00,1162,1763,10.34972109
352,2022-03-05 08:10:00,1220,1774,12.46943914
356,2022-03-04 23:55:00,770,1291,11.91341636
380,2022-03-05 06:55:00,975,1332,11.94341259
382,2022-03-04 23:55:00,337,438,12.0465168
383,2022-03-05 08:25:00,975,1332,11.94341259
384,2022-03-04 23:55:00,954,1327,12.75542565
392,2022-03-05 00:05:00,975,1332,11.94341259
406,2022-03-05 06:20:00,1085,1747,12.83631449
407,2022-03-05 07:10:00,1127,1757,11.83054254
509,2022-03-05 06:45:00,993,1337,10.0
510,2022-03-05 06:40:00,731,1285,11.58125217
512,2022-03-05 08:20:00,1220,1774,12.46943914
514,2022-03-04 23:55:00,745,1287,10.10382731
523,2022-03-05 06:55:00,1300,1792,11.95977796
526,2022-03-05 08:40:00,975,1332,11.94341259
539,2022-03-05 07:05:00,713,1282,10.0
541,2022-03-04 23:55:00,926,1321,12.50750667
553,2022-03-05 00:10:00,534,862,12.34713785
558,2022-03-04 23:55:00,909,1317,12.09067084
567,2022-03-04 23:55:00,551,865,10.41551478
568,2022-03-05 07:55:00,775,1292,10.0
572,2022-03-05 06:25:00,909,1317,12.09067084
574,2022-03-04 23:55:00,1220,1774,12.46943914
575,2022-03-05 07:15:00,975,1332,11.94341259
577,2022-03-04 23:55:00,928,1321,11.92598389
580,2022-03-05 05:25:00,699,1280,12.24575277
589,2022-03-05 07:20:00,473,851,11.94180451
595,2022-03-05 08:05:00,572,868,10.56319413
599,2022-03-05 07:30:00,731,1285,11.58125217
602,2022-03-04 23:55:00,975,1332,11.94341259
603,2022-03-04 23:55:00,701,1280,12.78267236
604,2022-03-05 07:20:00,337,438,12.0465168
605,2022-03-05 08:00:00,1023,1735,12.35201943
611,2022-03-05 06:55:00,414,840,10.29293017
615,2022-03-05 06:50:00,707,1281,10.75665196
617,2022-03-04 23:55:00,975,1332,11.94341259
621,2022-03-05 07:20:00,1293,1791,11.63369816
628,2022-03-04 23:55:00,10,382,12.04070302
629,2022-03-05 08:20:00,1300,1792,11.95977796
634,2022-03-04 23:55:00,1127,1757,11.83054254
639,2022-03-05 07:20:00,337,438,12.0465168
641,2022-03-05 07:40:00,163,409,11.93544121
643,2022-03-05 07:15:00,841,1304,12.68208082
647,2022-03-05 07:45:00,1162,1763,10.34972109
653,2022-03-05 06:50:00,745,1287,10.10382731
655,2022-03-05 06:05:00,1325,1797,13.11756894
657,2022-03-05 06:25:00,770,1291,11.91341636
658,2022-03-05 07:15:00,1220,1774,12.46943914
663,2022-03-04 23:55:00,1220,1774,12.46943914
668,2022-03-05 06:10:00,845,1305,12.8650267
670,2022-03-04 23:55:00,975,1332,11.94341259
756,2022-03-05 06:40:00,1113,1754,10.1099421
757,2022-03-05 06:10:00,1168,1764,10.0
760,2022-03-04 23:55:00,1292,1791,11.69203087
761,2022-03-04 23:55:00,1162,1763,10.34972109
762,2022-03-05 06:25:00,1125,1757,10.0
768,2022-03-04 23:55:00,343,439,11.67147082
771,2022-03-05 07:35:00,403,838,10.85089348
773,2022-03-05 07:25:00,1229,1777,10.0
774,2022-03-05 07:25:00,1132,1758,12.41569916
780,2022-03-05 06:15:00,797,1297,11.56263732
785,2022-03-05 06:35:00,975,1332,11.94341259
789,2022-03-04 23:55:00,1220,1774,12.46943914
790,2022-03-05 06:50:00,850,1306,10.16600469
791,2022-03-04 23:55:00,818,1300,11.73747499
792,2022-03-05 07:50:00,1061,1743,10.0
793,2022-03-05 08:00:00,1220,1774,12.46943914
794,2022-03-04 23:55:00,797,1297,11.56263732
799,2022-03-05 08:20:00,975,1332,11.94341259
802,2022-03-05 06:15:00,572,868,10.56319413
806,2022-03-05 07:40:00,1229,1777,10.0
808,2022-03-05 06:20:00,337,438,12.0465168
816,2022-03-05 05:50:00,211,416,10.77941864
817,2022-03-05 08:05:00,572,868,10.56319413
818,2022-03-05 08:10:00,442,844,11.6106281
824,2022-03-05 07:25:00,1026,1735,10.0
825,2022-03-05 06:15:00,337,438,12.0465168
827,2022-03-05 06:10:00,1143,1760,11.09948395
828,2022-03-04 23:55:00,337,438,12.0465168
831,2022-03-05 08:00:00,1091,1748,10.0
832,2022-03-05 07:45:00,797,1297,11.56263732
834,2022-03-05 08:00:00,1292,1791,11.69203087
839,2022-03-05 06:20:00,572,868,10.56319413
842,2022-03-05 07:05:00,337,438,12.0465168
846,2022-03-05 05:45:00,797,1297,11.56263732
847,2022-03-05 08:00:00,818,1300,11.73747499
853,2022-03-04 23:55:00,562,867,11.62081578
855,2022-03-04 23:55:00,1177,1765,12.89426829
856,2022-03-04 23:55:00,1161,1763,13.15887347
858,2022-03-05 06:40:00,1220,1774,12.46943914
859,2022-03-05 05:55:00,975,1332,11.94341259
860,2022-03-05 08:05:00,229,420,11.97363835
862,2022-03-05 08:30:00,1057,1742,12.79400672
864,2022-03-05 08:10:00,1194,1769,12.96301876
867,2022-03-04 23:55:00,975,1332,11.94341259
872,2022-03-05 07:05:00,1119,1756,10.73494993
875,2022-03-04 23:55:00,845,1305,12.8650267
876,2022-03-05 06:00:00,93,397,13.37102573
883,2022-03-05 06:30:00,648,880,13.32127131
884,2022-03-05 06:35:00,1183,1766,10.0
885,2022-03-05 06:35:00,280,428,13.26825807
886,2022-03-05 07:40:00,1021,1735,13.05526647
887,2022-03-05 06:35:00,337,438,12.0465168
892,2022-03-05 06:05:00,227,420,13.24827243
896,2022-03-05 06:00:00,509,857,11.44757195
897,2022-03-05 07:25:00,1084,1747,12.73070567
900,2022-03-05 06:45:00,1220,1774,12.46943914
901,2022-03-04 23:55:00,1220,1774,12.46943914
902,2022-03-05 06:05:00,196,414,13.22529229
907,2022-03-04 23:55:00,770,1291,11.91341636
909,2022-03-05 06:35:00,547,865,13.0953204
911,2022-03-05 06:15:00,230,420,13.07795916
919,2022-03-05 06:10:00,615,876,12.97335127
920,2022-03-05 00:10:00,337,438,12.0465168
923,2022-03-05 08:00:00,1126,1757,10.0
924,2022-03-05 06:35:00,134,404,12.97167186
925,2022-03-05 06:35:00,14,382,12.95747348
985,2023-05-24 04:25:00,107,399,12.26778286
986,2023-05-24 04:25:00,264,426,19.60389291
987,2023-05-24 04:25:00,121,402,19.58731885
988,2023-05-24 04:25:00,235,421,12.24913899
989,2023-05-24 04:25:00,1054,1742,10.17554134
990,2023-05-24 04:25:00,1172,1765,10.0
991,2023-05-24 04:25:00,809,1299,10.0
992,2023-05-24 04:25:00,450,845,19.51754398
993,2023-05-24 04:25:00,188,413,11.87645633
994,2023-05-24 04:25:00,1160,1763,10.0
995,2023-05-24 04:25:00,1048,1739,10.0
996,2023-05-24 04:25:00,1222,1775,10.0
997,2023-05-24 04:25:00,306,434,22.07082209
998,2023-05-24 04:25:00,1124,1757,16.13623788
999,2023-05-24 04:25:00,672,886,19.30343432
1000,2023-05-24 04:25:00,32,385,12.62548487
1001,2023-05-24 04:25:00,157,408,20.33824997
1002,2023-05-24 04:25:00,580,870,12.13261387
1003,2023-05-24 04:25:00,1083,1747,10.0
1004,2023-05-24 04:25:00,87,396,12.10155555
1005,2023-05-24 04:25:00,1227,1776,15.15568999
1006,2023-05-24 04:25:00,1047,1739,10.0
1007,2023-05-24 04:25:00,1226,1776,10.0
1008,2023-05-24 04:25:00,55,389,20.32173311
1009,2023-05-24 04:25:00,627,877,10.0
1010,2023-05-24 04:25:00,143,406,12.06765028
